"","Shom_PJ_011","Shom_PJ_012","Shom_PJ_013","Shom_PJ_014","Shom_PJ_015","Shom_PJ_016","Shom_PJ_017","Shom_PJ_018","Shom_PJ_019"
"Shom_DM18D10_00571",5927,4317,7591,2152,2264,2644,2494,2590,3471
"Shom_DM18D10_00572",4717,3519,5328,1748,1882,2169,1782,1906,2756
"Shom_DM18D10_00573",12705,11451,19765,6075,6324,9431,7483,9675,14317
"Shom_DM18D10_00574",36878,30211,48334,10731,10446,11325,24524,24136,21482
"Shom_DM18D10_00575",39669,32643,61008,18569,18397,23306,18048,22116,30799
"Shom_DM18D10_00576",19742,16407,30231,10134,9575,11903,9672,11973,15982
"Shom_DM18D10_00577",3843,2584,4940,3616,3112,1487,2829,2870,4413
"Shom_DM18D10_00578",4963,3888,6855,1855,1699,1692,2033,1926,1930
"Shom_DM18D10_00579",38149,29734,52314,9944,9809,11786,18549,18143,20581
"Shom_DM18D10_00580",56048,45190,80248,14919,14794,17853,24126,22986,28277
"Shom_DM18D10_00581",17699,15586,22667,5803,6246,7082,7121,8464,10607
"Shom_DM18D10_00582",78132,51878,111839,29220,29166,35014,32244,32576,41467
"Shom_DM18D10_00583",14491,13073,19322,9583,10104,10879,14255,13416,18088
"Shom_DM18D10_00584",8885,9366,10403,6056,6576,7185,7285,7690,11779
"Shom_DM18D10_00585",35781,31847,55744,15120,15641,16279,13135,15160,21907
"Shom_DM18D10_00586",37236,26684,55084,12236,13019,14476,10816,14576,19966
"Shom_DM18D10_00587",7861,6714,11781,3456,3470,3791,3419,3960,5177
"Shom_DM18D10_00588",608,588,978,586,649,849,1349,1110,1452
"Shom_DM18D10_00589",7673,6457,11992,2963,3234,3743,2824,3648,4423
"Shom_DM18D10_00590",36939,35789,40321,29660,26773,26247,40177,37887,42898
"Shom_DM18D10_00591",1140,1632,1127,1360,1241,926,2721,2620,2452
"Shom_DM18D10_00592",439,682,445,674,580,375,1230,1156,1064
"Shom_DM18D10_00593",1522,2913,1645,2734,2281,1502,5045,4206,4138
"Shom_DM18D10_00594",3413,5679,3282,5577,5028,3208,10453,8782,8232
"Shom_DM18D10_00595",879,1285,868,1588,1381,881,2913,2393,2473
"Shom_DM18D10_00596",1251,2298,1223,2639,2187,1372,4472,3676,3981
"Shom_DM18D10_00597",5421,8954,5841,10469,9471,6091,17443,14432,17886
"Shom_DM18D10_00598",2368,3114,2789,2223,2489,3010,3395,3248,6976
"Shom_DM18D10_00599",680,602,969,602,494,909,713,629,900
"Shom_DM18D10_00600",616,503,865,540,428,800,569,510,713
"Shom_DM18D10_00601",4120,4292,5535,1445,1499,1616,1492,1569,2679
"Shom_DM18D10_00602",1035,1214,1530,650,665,802,700,759,1105
"Shom_DM18D10_00603",43688,28123,57622,31876,29500,32417,34946,40790,47740
"Shom_DM18D10_00604",12000,4099,8830,23585,20873,47835,29833,29273,30599
"Shom_DM18D10_00605",5045,5118,8507,2122,2441,2757,1955,2242,3319
"Shom_DM18D10_00606",212178,67778,142913,309497,279783,330252,299043,264663,229521
"Shom_DM18D10_00607",19200,14972,26356,7214,6729,7772,12694,11633,11510
"Shom_DM18D10_00608",6734,5449,8940,2539,2452,2825,3825,4216,4471
"Shom_DM18D10_00609",8017,6751,10975,2994,3066,2903,4288,4268,4644
"Shom_DM18D10_00610",26811,18060,31968,5414,5409,5228,9932,10147,8317
"Shom_DM18D10_00611",5668,3816,7830,1927,1897,2216,2672,2873,2872
"Shom_DM18D10_00612",1742,1367,2196,1098,1018,956,1535,1368,1542
"Shom_DM18D10_00613",751,635,903,607,563,516,880,768,901
"Shom_DM18D10_00614",60515,49610,76192,28451,27916,25481,34444,31976,37495
"Shom_DM18D10_00615",12107,10940,16994,4713,5073,5745,5079,5918,7880
"Shom_DM18D10_00616",2630,1661,3274,10842,9810,10203,8258,6053,6184
"Shom_DM18D10_00617",4277,2338,4785,111946,102472,107485,89047,69821,65005
"Shom_DM18D10_00618",29890,35139,28145,97722,101433,78646,100678,78393,79285
"Shom_DM18D10_00619",15016,15288,14331,41270,42628,43868,41601,34706,40275
"Shom_DM18D10_00620",5276,6641,5773,10521,14540,6851,14331,12540,9319
"Shom_DM18D10_00621",9789,13027,10201,16620,25715,10945,25188,19777,14266
"Shom_DM18D10_00622",8246,5056,8689,5066,4719,7345,5163,7135,8077
"Shom_DM18D10_00623",50592,32938,51157,35098,32984,50286,38282,47715,51890
"Shom_DM18D10_00624",31429,20200,30061,21607,20136,29445,25516,28918,28512
"Shom_DM18D10_00625",9869,4742,5891,9249,8360,9972,13642,14974,11246
"Shom_DM18D10_00626",72395,31231,70313,197359,161401,357183,204793,177979,271181
"Shom_DM18D10_00627",3271,2474,3193,911,858,1383,1140,1394,2266
"Shom_DM18D10_00628",14155,10802,14407,3687,3463,5658,5016,5782,8851
"Shom_DM18D10_00629",419,397,797,136,216,144,146,236,221
"Shom_DM18D10_00630",14360,21316,15640,7018,8361,5106,10155,8901,9473
"Shom_DM18D10_00631",14453,24638,18797,8653,11469,4567,11672,9631,8353
"Shom_DM18D10_00632",17338,26342,24391,8522,10838,6420,9216,8848,10346
"Shom_DM18D10_00633",80558,107803,80322,123423,117753,121552,131940,108273,164633
"Shom_DM18D10_00634",116197,137439,110244,174028,164783,182761,188464,149448,227435
"Shom_DM18D10_00635",87221,58702,113213,29080,27705,28886,34305,31747,33316
"Shom_DM18D10_00636",9751,11564,11170,4712,5186,5882,5701,6050,9735
"Shom_DM18D10_00637",4209,4917,4468,2142,2080,2304,2969,2681,4109
"Shom_DM18D10_00638",33859,22641,39362,20232,16196,25308,38403,56626,48971
"Shom_DM18D10_00639",7569,6392,8226,7508,6986,11543,7144,6295,9010
"Shom_DM18D10_00640",11732,10680,12074,14503,12879,20512,14135,10726,15375
"Shom_DM18D10_00641",18191,16510,17808,21856,21081,31238,21903,17534,25338
"Shom_DM18D10_00642",15582,26111,17417,28589,35187,13786,32063,24998,21587
"Shom_DM18D10_00643",12280,10783,8831,93566,111381,151517,333248,299403,237140
"Shom_DM18D10_00644",1381,1315,1922,408,399,416,637,519,645
"Shom_DM18D10_00645",1764,1832,2439,545,544,625,989,768,871
"Shom_DM18D10_00646",1431,2391,1941,611,818,572,786,785,909
"Shom_DM18D10_00647",3524,4576,4705,1273,1611,1507,1238,1491,1767
"Shom_DM18D10_00648",64996,40713,53665,50216,45553,44070,55100,84439,80243
"Shom_DM18D10_00649",58405,36650,44679,41915,38495,42404,49121,77655,69710
"Shom_DM18D10_00650",2254,3662,3162,1803,2069,1838,2162,2762,3988
"Shom_DM18D10_00651",6628,12398,8284,7089,7414,5435,9194,9489,12532
"Shom_DM18D10_00652",13035,23282,14679,14557,14286,10194,20271,18446,21947
"Shom_DM18D10_00653",37999,31689,49745,15374,16190,16814,27332,22142,20741
"Shom_DM18D10_00654",14998,13504,18799,5941,6083,6795,10648,8750,8243
"Shom_DM18D10_00655",820,723,1292,474,457,636,457,515,685
"Shom_DM18D10_00656",1861,1418,2610,832,783,1024,680,774,1243
"Shom_DM18D10_00657",8956,8008,11130,7731,6797,7721,17532,15193,11490
