"","Scap_PJ_001","Scap_PJ_002","Scap_PJ_003","Scap_PJ_004","Scap_PJ_005","Scap_PJ_006","Scap_PJ_007","Scap_PJ_008","Scap_PJ_009"
"Scap_DM21G11_01353",274487,254442,260423,318596,265003,423434,270075,308032,281636
"Scap_DM21G11_01354",20395,22980,29590,25396,18520,30867,22285,21891,21838
"Scap_DM21G11_01355",14463,15734,18083,14963,10305,16255,12026,9964,9416
"Scap_DM21G11_01356",155572,165830,170994,138124,87647,138598,89203,78027,68997
"Scap_DM21G11_01357",21552,21867,24431,14093,11415,16988,12777,14237,12875
"Scap_DM21G11_01358",25484,25461,28883,14975,11963,21537,14662,16267,16787
"Scap_DM21G11_01359",23446,24328,29019,15114,11204,18351,13172,13539,13568
"Scap_DM21G11_01360",13566,16356,16251,39920,26172,45174,29190,24778,22924
"Scap_DM21G11_01361",5144,5322,4805,12334,7516,12488,9118,8055,7633
"Scap_DM21G11_01362",12262,12896,12861,27003,19276,30736,24908,22408,21756
"Scap_DM21G11_01363",11832,12767,12148,20554,13081,22462,16223,13606,13447
"Scap_DM21G11_01364",16965,19275,19962,24789,18217,29811,21211,20408,19349
"Scap_DM21G11_01365",11212,13502,14648,16208,13331,21305,16138,16942,15990
"Scap_DM21G11_01366",7222,8577,9118,8800,6684,12160,8305,8337,7856
"Scap_DM21G11_01367",109598,107618,105138,57644,40959,71448,39273,38414,37425
"Scap_DM21G11_01368",5809,6036,7105,3120,2442,3944,2917,2989,2841
"Scap_DM21G11_01369",12988,12917,16277,7901,5845,9985,7824,7700,7687
"Scap_DM21G11_01370",16035,17434,22860,10225,8727,14484,11488,13224,13002
"Scap_DM21G11_01371",17575,17886,22992,10684,8023,13424,10646,10601,10238
"Scap_DM21G11_01372",45814,48549,63600,31521,24581,39106,32947,34555,32845
"Scap_DM21G11_01373",74340,85347,108540,62209,48346,80830,58562,61232,60221
"Scap_DM21G11_01374",8058,9077,13044,11536,9497,15316,12439,13102,12839
"Scap_DM21G11_01375",4305,4781,5598,3733,2754,4381,3367,3171,2982
"Scap_DM21G11_01376",795,843,1023,579,427,639,498,467,471
"Scap_DM21G11_01377",205937,226666,317146,309522,237993,367242,283266,269882,256700
"Scap_DM21G11_01378",24025,25930,33404,34719,26051,41305,30527,27410,25440
"Scap_DM21G11_01379",5839,5964,6886,8244,6659,11371,7585,8609,7986
"Scap_DM21G11_01380",14261,11873,12935,35548,24987,42601,36742,40635,40241
"Scap_DM21G11_01381",20998,22640,28439,37543,28094,43445,37576,41075,39909
"Scap_DM21G11_01382",9994,12446,12976,5793,4296,6735,5904,5422,5102
"Scap_DM21G11_01383",26623,27971,29425,19001,15468,24237,17343,18497,17827
"Scap_DM21G11_01384",36710,44051,50308,39113,31626,48864,40306,42963,41938
"Scap_DM21G11_01385",8744,10704,11734,9781,7680,12232,9008,9360,8955
"Scap_DM21G11_01386",10002,9430,10752,8861,6332,9265,10612,10931,9696
"Scap_DM21G11_01387",27108,27671,36677,31372,22215,35084,41263,44755,43213
"Scap_DM21G11_01388",7550,8250,10008,11050,7790,12696,12103,13104,12228
"Scap_DM21G11_01389",126,148,151,128,71,122,132,124,106
"Scap_DM21G11_01390",783,759,861,811,592,895,749,778,626
