ID,category,SCNIH004,SCNIH009,SCNIH016,NIHLM087,SENIH040,SENIH047,SHNIH025,SHNIH027,SHNIH030
S0429,genus_core,1,1,1,1,1,3,1,1,1
S0430,genus_core,1,1,1,3,3,3,1,1,1
S0434,genus_core,1,1,1,1,1,1,2,1,1
S0435,genus_core,1,1,1,1,1,1,2,1,1
S0436,genus_core,1,1,1,1,1,2,2,1,1
S0437,genus_core,2,2,1,2,2,2,2,2,2
S0438,genus_core,1,1,1,1,1,1,1,1,2
S0439,genus_core,1,1,1,3,3,1,1,1,1
S0441,genus_core,1,1,1,3,1,1,1,1,1
S0444,genus_core,1,1,1,1,1,1,3,1,1
S0445,genus_core,1,1,1,1,1,3,3,1,3
S0446,genus_core,1,1,1,3,3,3,3,1,3
S0447,genus_core,1,1,1,3,3,1,1,1,3
S0450,genus_core,1,2,1,1,1,1,1,1,3
S0451,genus_core,2,2,2,2,2,2,2,2,2
S0452,genus_core,2,2,2,2,2,2,2,2,2
S0453,genus_core,2,2,1,2,2,2,2,2,2
S0454,genus_core,1,1,1,1,1,2,1,1,1
S0455,species_restricted_core,3,2,1,3,1,3,1,3,1
S0459,genus_core,3,1,1,1,1,1,1,1,3
S0462,genus_core,1,1,1,1,2,1,2,1,1
S0463,genus_core,1,2,2,2,2,2,2,1,1
S0464,genus_core,1,1,1,1,2,2,2,1,1
S0469,genus_core,1,1,3,3,1,3,1,1,1
S0471,genus_core,3,3,3,1,1,1,1,1,1
S0472,genus_core,3,3,3,1,1,1,1,1,3
S0473,genus_core,1,3,3,3,1,3,1,1,1
S0475,genus_core,1,1,3,3,3,3,1,1,3
S0477,genus_core,1,2,1,1,1,1,1,1,1
S0478,genus_core,1,1,1,1,1,1,1,1,3
S0480,genus_core,3,1,1,3,3,1,1,1,1
S0481,genus_core,2,1,1,3,1,3,2,1,2
S0482,genus_core,2,1,2,2,2,2,1,1,2
S0483,genus_core,1,1,1,1,3,1,3,1,1
S0484,genus_core,3,3,1,1,1,2,3,1,1
S0485,genus_core,2,2,2,2,2,1,2,2,2
S0486,genus_core,2,2,2,2,2,1,2,2,2
S0487,genus_core,2,2,2,2,2,1,2,2,2
S0488,genus_core,1,1,1,1,1,1,2,1,2
S0489,genus_core,3,1,1,3,3,1,1,1,1
S0490,genus_core,1,1,1,1,1,1,1,1,3
S0491,species_restricted_core,1,1,1,3,3,1,3,3,3
S0492,genus_core,1,1,2,1,2,2,1,1,2
S0493,genus_core,1,1,2,2,2,1,1,1,2
S0494,genus_core,1,1,1,2,1,1,1,1,1
S0495,genus_core,1,1,1,1,1,1,2,1,1
S0496,genus_core,1,1,1,1,1,2,2,2,1
S0497,genus_core,2,2,1,2,2,2,1,1,2
S0498,genus_core,1,3,1,2,2,1,3,3,1
S0499,genus_core,1,1,1,1,1,1,1,1,3
S0501,genus_core,2,1,2,2,2,1,2,1,1
S0502,genus_core,2,1,2,1,1,2,2,1,1
S0503,genus_core,1,1,1,1,1,1,1,1,3
S0504,genus_core,1,1,2,2,2,1,1,1,1
S0506,genus_core,1,1,3,3,3,1,1,1,1
S0507,genus_core,2,2,2,2,2,1,2,1,2
S0508,genus_core,2,2,2,2,2,2,2,2,2
S0509,genus_core,3,1,1,1,2,1,2,1,1
S0511,genus_core,2,2,2,2,2,2,1,1,2
S0512,genus_core,2,2,2,2,2,2,1,1,2
S0513,genus_core,2,2,2,2,2,2,1,1,2
S0515,species_restricted_core,1,1,1,1,2,1,0,0,0
S0516,genus_core,1,1,1,2,1,1,2,1,1
S0517,genus_core,1,1,2,2,1,1,2,1,1
S0518,genus_core,1,1,2,2,1,1,2,1,1
S0519,genus_core,1,1,2,2,1,1,2,1,1
S0520,genus_core,1,1,2,2,2,1,2,1,1
S0521,genus_core,1,1,1,1,1,1,1,1,2
S0522,species_restricted_core,3,1,1,3,1,3,0,0,2
S0523,genus_core,3,1,1,1,1,1,1,1,1
S0525,genus_core,3,3,3,3,3,3,3,3,3
S0526,genus_core,1,1,1,2,1,1,1,1,1
S0527,genus_core,1,1,1,2,1,1,1,1,1
S0528,genus_core,1,1,1,3,3,3,1,1,2
S0529,genus_core,2,1,1,2,1,1,1,1,1
