"","Scap_PJ_019","Scap_PJ_020","Scap_PJ_021","Scap_PJ_022","Scap_PJ_023","Scap_PJ_024","Scap_PJ_025","Scap_PJ_026","Scap_PJ_027"
"Scap_2C01_ad_00272",7504,8279,7079,48219,53331,55168,22228,20132,21890
"Scap_2C01_ad_00273",94092,99076,89043,95206,91431,116574,140046,151574,138767
"Scap_2C01_ad_00274",2768,3237,2823,2191,1982,2377,2006,2254,2068
"Scap_2C01_ad_00275",108,128,109,105,128,144,113,135,134
"Scap_2C01_ad_00276",225,284,262,300,260,334,366,393,339
"Scap_2C01_ad_00277",82,100,79,85,81,88,84,100,96
"Scap_2C01_ad_00278",394295,438574,345081,251553,236148,260915,177944,205056,205793
"Scap_2C01_ad_00279",13830,10070,9092,21351,18772,22482,38251,33196,30956
"Scap_2C01_ad_00280",809,910,860,880,773,919,895,998,971
"Scap_2C01_ad_00281",2820,2755,2512,9141,7498,9057,10048,10915,10360
"Scap_2C01_ad_00282",1657,1771,1479,3397,3511,4315,4462,4306,4207
"Scap_2C01_ad_00283",231,209,215,5946,4738,5741,11515,11267,10410
"Scap_2C01_ad_00284",13704,15975,14254,22031,30534,27472,21490,17586,17228
"Scap_2C01_ad_00285",2284,2422,2291,3092,2879,3165,2681,3016,2770
"Scap_2C01_ad_00286",20253,21452,16743,16571,13843,14587,12672,14408,15609
"Scap_2C01_ad_00287",98325,115870,100031,54474,50044,55917,30017,35325,33574
"Scap_2C01_ad_00288",119079,142602,127784,68728,64400,76951,43434,46833,46953
"Scap_2C01_ad_00289",18454,21954,19930,10838,10511,12900,7958,7836,8070
"Scap_2C01_ad_00290",10712,10944,8721,6703,5835,6615,7489,8767,9219
"Scap_2C01_ad_00291",9024,9764,8414,7559,6272,7186,7983,8448,8605
"Scap_2C01_ad_00292",9035,9763,8486,6693,5774,6364,7694,8145,7719
"Scap_2C01_ad_00293",3612,3779,3464,2579,2108,2593,3108,3276,3043
"Scap_2C01_ad_00294",4190,4138,3348,2784,2246,2791,3019,3300,3136
"Scap_2C01_ad_00295",2986,3098,2970,1506,1270,1619,1920,2035,1767
"Scap_2C01_ad_00296",249,255,235,93,63,84,78,84,82
"Scap_2C01_ad_00297",1633,1872,1582,2239,2049,2254,3521,4037,3645
"Scap_2C01_ad_00298",1930,2123,1842,1537,1464,1755,2109,2094,2081
"Scap_2C01_ad_00299",11090,12023,10745,21762,20439,24716,28446,31348,27800
